psgc,name,correspondence_code,geographic_level,old_names,city_class,income_classification,urban_rural,population_2015,,population_2020,,status
1999908008,Tapodoc,124717017,Bgy,,,,R,2255,,1767,,
1999908007,Pamalian,124712062,Bgy,,,,R,2982,,3256,,
1999908006,Manaulanan,124712037,Bgy,,,,U,7477,,7632,,
1999908005,Macasendeg,124712035,Bgy,,,,R,3775,,2516,,
1999908004,Lagunde,124712030,Bgy,,,,U,3701,,5332,,
1999908003,Dunguan,124717004,Bgy,,,,R,2805,,3285,,
1999908002,Bualan,124712009,Bgy,,,,R,2176,,2177,,
1999908001,Balong,124712005,Bgy,,,,R,3178,,3573,,
1999908000,Pikit Cluster III,,SGU,,,,,,,,,
1999907008,Rajah Muda,124712052,Bgy,,,,R,3423,,2116,,
1999907007,Macabual,124712034,Bgy,,,,R,4016,,4557,,
1999907006,Kabasalan,124712024,Bgy,,,,U,5769,,7591,,
1999907005,Gligli,124712021,Bgy,,,,R,3323,,3861,,
1999907004,Bulol,124712012,Bgy,,,,U,4203,,5145,,
1999907003,Buliok,124712010,Bgy,,,,R,3041,,4624,,
1999907002,Barungis,124712007,Bgy,,,,R,2873,,3367,,
1999907001,Bagoaingud,124712001,Bgy,Bagoinged,,,R,3034,,3080,,
1999907000,Pikit Cluster II,,SGU,,,,,,,,,
1999906008,Panicupan,124712048,Bgy,,,,R,2363,,2357,,
1999906007,Nunguan,124712044,Bgy,,,,U,4569,,5380,,
1999906006,Nalapaan,124712041,Bgy,,,,R,2199,,2323,,
1999906005,Nabundas,124712040,Bgy,,,,R,4106,,4996,,
1999906004,Gokoton,124712022,Bgy,Gokotan,,,U,4973,,5494,,
1999906003,Fort Pikit,124712019,Bgy,,,,U,7326,,7476,,
1999906002,Batulawan,124712008,Bgy,,,,U,6781,,6306,,
1999906001,Balungis,124712006,Bgy,,,,R,5031,,4463,,
1999906000,Pikit Cluster I,,SGU,,,,,,,,,
1999905012,Upper Pangangkalan,124711028,Bgy,,,,R,1010,,905,,
1999905011,Simsiman,124711036,Bgy,,,,U,2173,,2506,,
1999905010,Patot,124711029,Bgy,,,,R,1927,,2287,,
1999905009,Matilac,124711022,Bgy,,,,U,1579,,1817,,
1999905008,Lower Pangangkalan,124711018,Bgy,,,,R,1111,,1129,,
1999905007,Lower Baguer,124711017,Bgy,,,,R,957,,1208,,
1999905006,Libungan Torreta,124711016,Bgy,,,,U,2189,,2290,,
1999905005,Kadingilan,124711014,Bgy,,,,R,1337,,1683,,
1999905004,Datu Mantil,124711013,Bgy,,,,U,1063,,1220,,
1999905003,Datu Binasing,124711012,Bgy,,,,R,1437,,1650,,
1999905002,Buricain,124711009,Bgy,,,,R,2035,,1626,,
1999905001,Balacayon,124711003,Bgy,,,,R,1067,,1306,,
1999905000,Pigcawayan Cluster,,SGU,,,,,,,,,
1999904006,Olandang,124709033,Bgy,,,,R,2683,,3702,,
1999904005,Nabalawag,124709030,Bgy,,,,R,3120,,3093,,
1999904004,Kudarangan,124709019,Bgy,,,,R,3106,,3218,,
1999904003,Kadingilan,124709015,Bgy,,,,R,2531,,2414,,
1999904002,Kadigasan,124709014,Bgy,,,,U,4816,,5441,,
1999904001,Damatulan,124709011,Bgy,,,,R,4117,,4570,,
1999904000,Midsayap Cluster II,,SGU,,,,,,,,,
1999903007,Tumbras,124709051,Bgy,,,,R,2380,,3432,,
1999903006,Tugal,124709050,Bgy,,,,R,3304,,4665,,
1999903005,Sambulawan,124709047,Bgy,,,,R,2830,,3599,,
1999903004,Mudseng,124709029,Bgy,,,,R,1815,,2831,,
1999903003,Malingao,124709027,Bgy,,,,R,3354,,4456,,
1999903002,Kapinpilan,124709016,Bgy,,,,R,3964,,4593,,
1999903001,Central Labas,124709020,Bgy,,,,R,1945,,1997,,
1999903000,Midsayap Cluster I,,SGU,,,,,,,,,
1999902007,Tamped,124703024,Bgy,,,,R,1276,,1540,,
1999902006,Simone,124703023,Bgy,,,,R,2282,,2652,,
1999902005,Simbuhay,124703022,Bgy,,,,R,1853,,1871,,
1999902004,Sanggadong,124703021,Bgy,,,,R,872,,869,,
1999902003,Pedtad,124703017,Bgy,,,,R,3395,,4593,,
1999902002,Nanga-an,124703013,Bgy,,,,R,3389,,3715,,
1999902001,Buluan,124703004,Bgy,,,,R,1383,,1418,,
1999902000,Kabacan Cluster,,SGU,,,,,,,,,
1999901007,Tupig,124702039,Bgy,,,,R,2727,,3340,,
1999901006,Pebpoloan,124702030,Bgy,,,,R,2155,,1038,,
1999901005,Nasapian,124702027,Bgy,,,,R,3304,,4423,,
1999901004,Manarapan,124702024,Bgy,,,,R,3746,,4355,,
1999901003,Langogan,124702016,Bgy,,,,R,2199,,2082,,
1999901002,Kitulaan,124702015,Bgy,,,,U,5238,,6079,,
1999901001,Kib-Ayao,124702010,Bgy,,,,U,5276,,7146,,
1999901000,Carmen Cluster,,SGU,,,,,,,,,
1999900000,Interim Province Code for 63 barangays of BARMM based on PSA Board Resolution No. 13 Series of 2021,,,,,,,,,,,
1908824015,Timbaluan,153816038,Bgy,,,,R,946,,1151,,
1908824014,Tambunan I,153816036,Bgy,,,,R,3541,,3725,,
1908824013,Tamar,153816035,Bgy,,,,R,2027,,2586,,
1908824012,Talayan,153816033,Bgy,,,,U,3383,,5188,,
1908824011,Marader,153816025,Bgy,,,,R,1233,,1310,,
1908824010,Linamunan,153816019,Bgy,,,,R,2544,,2759,,
1908824009,Lanting,153816018,Bgy,,,,R,2047,,2081,,
1908824008,Kedati,153816014,Bgy,,,,R,891,,975,,
1908824007,Katibpuan,153816013,Bgy,,,,R,3029,,3167,,
1908824006,Fukol,153816009,Bgy,,,,R,875,,960,,
1908824005,Fugotan,153816008,Bgy,,,,R,758,,884,,
1908824004,Damablac,153816007,Bgy,,,,R,1284,,1799,,
1908824003,Boboguiron,153816005,Bgy,,,,R,904,,958,,
1908824002,Binangga South,153816032,Bgy,,,,U,5179,,5195,,
1908824001,Binangga North,153816028,Bgy,,,,R,1391,,1418,,
1908824000,Talayan,153816000,Mun,,,4th*,,30032,,34156,,
1908823012,Tukanakuden,153813046,Bgy,,,,R,954,,1022,,
1908823011,Tugal,153813045,Bgy,,,,R,732,,992,,
1908823010,Papakan,153813028,Bgy,,,,R,1375,,1479,,
1908823009,Paldong,153813050,Bgy,,,,R,1945,,2087,,
1908823008,Masulot,153813021,Bgy,,,,R,2447,,2524,,
1908823007,Langgapanan,153813015,Bgy,,,,R,505,,744,,
1908823006,Kulambog,153813013,Bgy,,,,R,3135,,3294,,
1908823005,Gadungan,153813008,Bgy,,,,R,1546,,1614,,
1908823004,Darampua,153813006,Bgy,,,,R,2022,,2355,,
1908823003,Bulod,153813004,Bgy,,,,R,2300,,2450,,
1908823002,Barurao,153813003,Bgy,,,,R,4078,,4452,,
1908823001,Angkayamat,153813001,Bgy,,,,R,1386,,1463,,
1908823000,Sultan Sa Barongis,153813000,Mun,Lambayong,,2nd,,22425,,24476,,
1908822011,San Jose,153817011,Bgy,,,,R,1622,,1701,,
1908822010,Romangaob ,153817010,Bgy,,,,U,10026,,11243,,Pob.
1908822009,Pilar,153817009,Bgy,,,,U,5266,,5416,,
1908822008,Pandan,153817008,Bgy,,,,R,4340,,4647,,
1908822007,Looy,153817007,Bgy,,,,R,3937,,4085,,
1908822006,Lamud,153817006,Bgy,,,,R,1944,,1995,,
1908822005,Kuya,153817001,Bgy,,,,U,5510,,6025,,
1908822004,Kigan,153817005,Bgy,,,,R,2623,,2878,,
1908822003,Itaw,153817004,Bgy,,,,R,1426,,1562,,
1908822002,Bongo,153817003,Bgy,,,,R,2149,,2283,,
1908822001,Biarong,153817002,Bgy,,,,R,1335,,1362,,
1908822000,South Upi,153817000,Mun,,,4th*,,40178,,43197,,
1908821016,Pusao,153837014,Bgy,,,,R,1579,,1775,,
1908821015,Pikeg,153837013,Bgy,,,,R,2353,,2533,,
1908821014,Pamalian,153837012,Bgy,,,,R,1116,,1304,,
1908821013,Pagatin,153837016,Bgy,Pagatin I,,,R,1558,,2079,,
1908821012,Pagatin,153837011,Bgy,,,,R,2074,,2298,,
1908821011,Nabundas,153837010,Bgy,,,,R,1822,,2008,,
1908821010,Linantangan,153837009,Bgy,,,,R,1334,,2079,,
1908821009,Libutan,153837015,Bgy,,,,R,1038,,1702,,
1908821008,Inaladan,153837008,Bgy,,,,R,1075,,1162,,
1908821007,Ganta,153837007,Bgy,,,,R,1182,,1560,,
1908821006,Duguengen,153837006,Bgy,,,,R,524,,1074,,
1908821005,Datu Kilay,153837005,Bgy,,,,R,439,,593,,
1908821004,Datu Bakal,153837004,Bgy,,,,R,234,,494,,
1908821003,Dasawao,153837003,Bgy,,,,R,1335,,1540,,
1908821002,Dale-Bong,153837002,Bgy,,,,R,956,,1301,,
1908821001,Bakat,153837001,Bgy,,,,R,1236,,1578,,
1908821000,Shariff Saydona Mustapha,153837000,Mun,,,-,,19855,,25080,,
1908820013,Tina,153808040,Bgy,,,,R,1203,,1506,,
1908820012,Timbangan,153808039,Bgy,,,,R,2055,,1213,,
1908820011,Tapikan,153808038,Bgy,,,,R,804,,1108,,
1908820010,Satan,153808037,Bgy,,,,R,2320,,2568,,
1908820009,Poblacion II,153808047,Bgy,,,,R,2477,,2542,,
1908820008,Poblacion I,153808046,Bgy,,,,R,3280,,3303,,
1908820007,Poblacion,153808034,Bgy,,,,U,7010,,8011,,
1908820006,Malingao,153808023,Bgy,,,,R,872,,928,,
1908820005,Lapok,153808013,Bgy,Lepok,,,R,1207,,1359,,
1908820004,Labu-labu,153808012,Bgy,,,,U,5239,,5949,,
1908820003,Kuloy,153808011,Bgy,,,,R,1163,,1361,,
1908820002,Bialong,153808004,Bgy,,,,R,1981,,2034,,
1908820001,Bagong,153808002,Bgy,,,,R,2081,,2100,,
1908820000,Shariff Aguak,153808000,Mun,Maganoy,,2nd,,31692,,33982,,
1908819011,Tabungao,153829011,Bgy,,,,R,3033,,3176,,
1908819010,Sapakan ,153829010,Bgy,,,,R,2464,,3043,,Pob.
1908819009,Sampao,153829009,Bgy,,,,R,1556,,1772,,
1908819008,Pidsandawan,153829008,Bgy,,,,R,1199,,2375,,
1908819007,Panadtaban,153829007,Bgy,,,,R,2492,,2667,,
1908819006,Mileb,153829006,Bgy,,,,R,2565,,2651,,
1908819005,Malibpolok,153829005,Bgy,,,,R,2017,,2465,,
1908819004,Gaunan,153829004,Bgy,,,,R,1517,,1715,,
1908819003,Dapantis,153829003,Bgy,,,,R,2747,,2893,,
1908819002,Bakat,153829002,Bgy,,,,R,1646,,2295,,
1908819001,Baital,153829001,Bgy,,,,R,2416,,2780,,
1908819000,Rajah Buayan,153829000,Mun,,,-,,23652,,27832,,
1908818008,Upper Dilag,153833008,Bgy,,,,R,2820,,2899,,
1908818007,Pandag,153833007,Bgy,,,,R,3028,,3298,,
1908818006,Malangit,153833006,Bgy,,,,R,4376,,4587,,
1908818005,Lower Dilag,153833005,Bgy,,,,R,2158,,2291,,
1908818004,Lepak,153833004,Bgy,,,,R,2602,,2713,,
1908818003,Kayupo,153833003,Bgy,Cuyapo,,,R,1898,,1990,,
1908818002,Kayaga,153833002,Bgy,,,,R,4103,,4393,,
1908818001,Kabuling,153833001,Bgy,,,,R,4072,,4185,,
1908818000,Pandag,153833000,Mun,,,-,,25057,,26356,,
1908817008,Upper Idtig,153823004,Bgy,,,,R,1142,,1842,,
1908817007,Tual,153823008,Bgy,,,,R,1507,,1752,,
1908817006,Salam,153823007,Bgy,,,,R,1056,,1395,,
1908817005,Paglat,153823003,Bgy,,,,U,4021,,5078,,
1908817004,Kakal,153823006,Bgy,,,,R,1301,,1436,,
1908817003,Damalusay,153823002,Bgy,,,,R,2847,,2910,,
1908817002,Damakling,153823001,Bgy,,,,R,1990,,2100,,
1908817001,Campo,153823005,Bgy,,,,R,2056,,2214,,
1908817000,Paglat,153823000,Mun,,,-,,15920,,18727,,
1908816012,Poblacion,153810021,Bgy,,,,U,9285,,10579,,
1908816011,Linandangan,153810017,Bgy,,,,R,2369,,2465,,
1908816010,Layog,153810015,Bgy,,,,R,3886,,4513,,
1908816009,Kudal,153810014,Bgy,,,,R,1733,,1848,,
1908816008,Kilangan,153810013,Bgy,,,,U,3715,,5527,,
1908816007,Kalbugan,153810010,Bgy,,,,R,4244,,4399,,
1908816006,Inug-ug,153810009,Bgy,,,,R,1951,,2223,,
1908816005,Galakit,153810008,Bgy,,,,R,2030,,2490,,
1908816004,Damalasak,153810006,Bgy,,,,R,2549,,2882,,
1908816003,Dalgan,153810025,Bgy,,,,R,1453,,1616,,
1908816002,Buliok,153810004,Bgy,,,,R,3795,,4947,,
1908816001,Bagoenged,153810001,Bgy,,,,R,2643,,2788,,
1908816000,Pagalungan,153810000,Mun,,,1st,,39653,,46277,,
1908815011,Tunggol,153822011,Bgy,,,,U,4976,,5453,,
1908815010,Talitay,153822010,Bgy,,,,R,3208,,3276,,
1908815009,Talapas,153822009,Bgy,,,,R,1791,,1966,,
1908815008,Pagagawan,153822008,Bgy,,,,R,4047,,4578,,
1908815007,Nabundas,153822007,Bgy,,,,R,2521,,2624,,
1908815006,Maridagao,153822006,Bgy,,,,R,2817,,3024,,
1908815005,Limbalud,153822005,Bgy,,,,R,2062,,2143,,
1908815004,Dungguan,153822004,Bgy,,,,U,5999,,6059,,
1908815003,Bulod,153822003,Bgy,,,,R,3023,,3084,,
1908815002,Bulit,153822002,Bgy,,,,R,2376,,2743,,
1908815001,Balatungkayo,153822001,Bgy,Batungkayo,,,R,2000,,2364,,
1908815000,Pagagawan,153822000,Mun,,,5th,,34820,,37314,,
1908814008,Tumbao,153832008,Bgy,,,,U,5630,,5715,,
1908814007,Tinambulan,153832007,Bgy,,,,R,2326,,2430,,
1908814006,Tenok,153832006,Bgy,,,,U,2052,,2138,,
1908814005,Panapan,153832005,Bgy,,,,R,3352,,3504,,
1908814004,Paitan,153832004,Bgy,,,,R,3192,,3316,,
1908814003,Luayan,153832003,Bgy,,,,R,2615,,2787,,
1908814002,Kalian,153832002,Bgy,,,,R,2663,,3016,,
1908814001,Daladagan,153832001,Bgy,,,,R,3216,,3297,,
1908814000,Mangudadatu,153832000,Mun,,,-,,25046,,26203,,
1908813014,Tukanalipao,153820018,Bgy,,,,R,2280,,2501,,
1908813013,Tuka,153820017,Bgy,,,,R,878,,1062,,
1908813012,Sapakan,153820016,Bgy,,,,R,1281,,1324,,
1908813011,Pimbalakan,153820014,Bgy,,,,R,1224,,1359,,
1908813010,Pidsandawan,153820013,Bgy,,,,R,756,,888,,
1908813009,Manongkaling,153820011,Bgy,,,,U,7017,,7564,,
1908813008,Mamasapano,153820010,Bgy,,,,R,3173,,4039,,
1908813007,Lusay,153820009,Bgy,,,,R,803,,890,,
1908813006,Libutan,153820007,Bgy,,,,R,2143,,2367,,
1908813005,Liab,153820006,Bgy,,,,R,752,,857,,
